# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e-01
# Aref        : 5.000000e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	2.646978e-21	2.589507e-04	-1.058791e-21	2.117582e-21	-3.176374e-21
0.00203904    	-2.967445e-10	7.622831e-01	-7.168985e-06	-3.584789e-06	-3.584196e-06
0.00310333    	-2.798199e-10	2.572845e-02	-2.403876e-07	-1.204736e-07	-1.199140e-07
0.00413151    	-3.070492e-10	1.370860e-02	-1.308978e-06	-6.547960e-07	-6.541819e-07
0.00515635    	-3.004933e-10	9.998673e-03	-6.128980e-08	-3.094540e-08	-3.034441e-08
0.00617865    	-2.938527e-10	9.053065e-03	-4.049864e-07	-2.027870e-07	-2.021993e-07
0.00719867    	-2.881490e-10	8.585752e-03	-3.399270e-07	-1.702516e-07	-1.696753e-07
0.00821714    	-2.823686e-10	8.363904e-03	-2.196853e-07	-1.101250e-07	-1.095603e-07
0.00923483    	-2.767632e-10	8.283925e-03	-1.178694e-07	-5.921146e-08	-5.865793e-08
0.0102522     	-2.709652e-10	8.276446e-03	-7.841068e-08	-3.947631e-08	-3.893438e-08
0.0112693     	-2.650517e-10	8.294019e-03	-8.114852e-08	-4.083931e-08	-4.030921e-08
0.0122865     	-2.590918e-10	8.329379e-03	-9.011392e-08	-4.531605e-08	-4.479787e-08
0.0133038     	-2.525310e-10	8.370657e-03	-7.319210e-08	-3.684858e-08	-3.634352e-08
0.0143214     	-2.454700e-10	8.412078e-03	-6.060531e-08	-3.054813e-08	-3.005719e-08
0.0153395     	-2.385507e-10	8.460038e-03	-3.626839e-08	-1.837275e-08	-1.789565e-08
0.0163582     	-2.315700e-10	8.513235e-03	-2.201165e-08	-1.123740e-08	-1.077426e-08
0.0173778     	-2.244643e-10	8.572653e-03	1.664980e-09	6.080257e-10	1.056954e-09
0.0183985     	-2.171641e-10	8.634166e-03	-8.373878e-09	-4.404103e-09	-3.969775e-09
0.0194203     	-2.098399e-10	8.697217e-03	1.001303e-08	4.796674e-09	5.216354e-09
0.0204432     	-2.025937e-10	8.761731e-03	1.909609e-08	9.345453e-09	9.750641e-09
0.0214672     	-1.954169e-10	8.829802e-03	1.748002e-08	8.544592e-09	8.935426e-09
0.0224926     	-1.882500e-10	8.903238e-03	1.974408e-08	9.683789e-09	1.006029e-08
0.0235195     	-1.811278e-10	8.981446e-03	2.034712e-08	9.992430e-09	1.035469e-08
0.0245481     	-1.740054e-10	9.043792e-03	2.524194e-08	1.244697e-08	1.279498e-08
0.0255785     	-1.670007e-10	9.096146e-03	2.889423e-08	1.428011e-08	1.461412e-08
0.0266107     	-1.600314e-10	9.151037e-03	3.051340e-08	1.509667e-08	1.541673e-08
0.027645      	-1.531073e-10	9.215887e-03	2.608633e-08	1.289006e-08	1.319627e-08
0.0286812     	-1.461320e-10	9.294776e-03	2.267545e-08	1.119159e-08	1.148386e-08
0.0297196     	-2.085119e-10	9.384345e-03	-8.281720e-09	-4.349372e-09	-3.932348e-09
0.0307601     	-2.654623e-10	9.474943e-03	1.180194e-07	5.874424e-08	5.927517e-08
0.0318029     	-3.168095e-10	9.563642e-03	-9.273599e-09	-4.953609e-09	-4.319990e-09
0.0328478     	-3.630242e-10	9.658339e-03	-2.164663e-08	-1.118634e-08	-1.046029e-08
0.033895      	-4.034512e-10	9.758367e-03	-7.961523e-08	-4.021107e-08	-3.940417e-08
0.0349444     	-4.408217e-10	9.864860e-03	-1.326133e-07	-6.674746e-08	-6.586581e-08
0.0359962     	-4.757694e-10	9.974701e-03	-2.819280e-07	-1.414398e-07	-1.404882e-07
0.0370501     	-5.088702e-10	1.010765e-02	-1.560827e-07	-7.855023e-08	-7.753249e-08
0.0381064     	-5.405870e-10	1.020463e-02	-3.362502e-07	-1.686657e-07	-1.675845e-07
0.0391648     	-5.699851e-10	1.030836e-02	-2.502683e-07	-1.257042e-07	-1.245642e-07
0.0402255     	-5.993308e-10	1.040234e-02	-5.245546e-07	-2.628767e-07	-2.616780e-07
0.0412884     	-6.271433e-10	1.051387e-02	-3.234714e-07	-1.623629e-07	-1.611086e-07
0.0423533     	-6.533908e-10	1.063183e-02	-6.007723e-07	-3.010395e-07	-2.997328e-07
0.0434204     	-6.763732e-10	1.073608e-02	-5.328852e-07	-2.671190e-07	-2.657662e-07
0.0444894     	-6.977871e-10	1.084095e-02	-4.007337e-07	-2.010646e-07	-1.996690e-07
0.0455603     	-7.169825e-10	1.095566e-02	-5.031212e-07	-2.522776e-07	-2.508436e-07
0.0466327     	-7.334786e-10	1.108235e-02	-4.937416e-07	-2.476043e-07	-2.461373e-07
0.0477064     	-7.457112e-10	1.121565e-02	-2.543256e-07	-1.279085e-07	-1.264171e-07
0.0487813     	-7.561085e-10	1.136259e-02	-3.071621e-07	-1.543372e-07	-1.528249e-07
0.0498572     	-7.621628e-10	1.151478e-02	-3.529545e-07	-1.772394e-07	-1.757151e-07
0.0509342     	-7.658083e-10	1.161915e-02	-6.355197e-07	-3.185256e-07	-3.169940e-07
0.0520119     	-7.663578e-10	1.171149e-02	-3.499328e-07	-1.757327e-07	-1.742000e-07
0.0530904     	-7.650425e-10	1.183493e-02	-2.795589e-07	-1.405445e-07	-1.390144e-07
0.0541695     	-7.616732e-10	1.197059e-02	-3.425146e-09	-2.474246e-09	-9.509000e-10
0.0552491     	-7.543282e-10	1.208247e-02	-9.554751e-07	-4.784919e-07	-4.769832e-07
0.0563291     	-7.465706e-10	1.221417e-02	-6.676769e-07	-3.345850e-07	-3.330919e-07
0.0574095     	-7.376982e-10	1.233569e-02	-6.852258e-07	-3.433506e-07	-3.418752e-07
0.0584899     	-7.657982e-10	1.247374e-02	-5.789542e-07	-2.902429e-07	-2.887113e-07
0.0595701     	-7.962357e-10	1.261163e-02	-6.068007e-07	-3.041966e-07	-3.026041e-07
0.0606501     	-8.290190e-10	1.275292e-02	-5.877023e-07	-2.946802e-07	-2.930222e-07
0.0617297     	-8.605971e-10	1.290564e-02	-5.555208e-07	-2.786210e-07	-2.768998e-07
0.062809      	-8.885241e-10	1.305808e-02	-5.263317e-07	-2.640544e-07	-2.622773e-07
