# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e-01
# Aref        : 5.000000e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-5.806846e-05	2.589507e-04	4.235165e-21	-5.806846e-05	5.806846e-05
0.00203904    	-5.564927e-05	7.622831e-01	-7.836693e-04	-4.474839e-04	-3.361854e-04
0.00310253    	-5.522417e-05	2.578592e-02	-5.529773e-04	-3.317128e-04	-2.212645e-04
0.00412837    	-5.486070e-05	1.374445e-02	-4.559768e-04	-2.828491e-04	-1.731277e-04
0.0051494     	-5.449944e-05	1.005964e-02	-4.484226e-04	-2.787107e-04	-1.697119e-04
0.00616649    	-5.414157e-05	9.111471e-03	-4.391390e-04	-2.737111e-04	-1.654279e-04
0.00718004    	-5.378731e-05	8.637066e-03	-4.830132e-04	-2.952939e-04	-1.877193e-04
0.00819098    	-5.343540e-05	8.424725e-03	-5.210605e-04	-3.139656e-04	-2.070948e-04
0.00920019    	-5.308498e-05	8.353075e-03	-5.228526e-04	-3.145113e-04	-2.083413e-04
0.0102081     	-5.273636e-05	8.352969e-03	-5.487064e-04	-3.270896e-04	-2.216168e-04
0.011215      	-5.238968e-05	8.379715e-03	-5.903063e-04	-3.475428e-04	-2.427635e-04
0.0122211     	-5.204483e-05	8.421653e-03	-6.234680e-04	-3.637788e-04	-2.596892e-04
0.0132265     	-5.170207e-05	8.470432e-03	-6.806605e-04	-3.920323e-04	-2.886282e-04
0.0142313     	-5.136093e-05	8.524358e-03	-7.194525e-04	-4.110872e-04	-3.083653e-04
0.0152357     	-5.102143e-05	8.583336e-03	-7.600265e-04	-4.310347e-04	-3.289918e-04
0.01624       	-5.068324e-05	8.646773e-03	-7.940040e-04	-4.476853e-04	-3.463188e-04
0.0172444     	-5.034630e-05	8.714464e-03	-8.344011e-04	-4.675468e-04	-3.668542e-04
0.0182491     	-5.001050e-05	8.784063e-03	-8.723067e-04	-4.861639e-04	-3.861429e-04
0.0192544     	-4.967559e-05	8.860790e-03	-9.113332e-04	-5.053422e-04	-4.059910e-04
0.0202605     	-4.934141e-05	8.938406e-03	-9.491478e-04	-5.239153e-04	-4.252325e-04
0.0212675     	-4.900771e-05	9.021192e-03	-9.904288e-04	-5.442221e-04	-4.462067e-04
0.0222758     	-4.867426e-05	9.110959e-03	-1.033490e-03	-5.654191e-04	-4.680705e-04
0.0232855     	-4.834084e-05	9.199554e-03	-1.071121e-03	-5.839015e-04	-4.872198e-04
0.0242964     	-4.800744e-05	9.271528e-03	-1.116300e-03	-6.061575e-04	-5.101427e-04
0.0253088     	-4.767403e-05	9.337962e-03	-1.162214e-03	-6.287809e-04	-5.334328e-04
0.0263226     	-4.734034e-05	9.411161e-03	-1.207739e-03	-6.512096e-04	-5.565289e-04
0.0273382     	-4.700620e-05	9.498343e-03	-1.255197e-03	-6.746046e-04	-5.805922e-04
0.0283555     	-4.667124e-05	9.596653e-03	-1.297941e-03	-6.956417e-04	-6.022993e-04
0.0293747     	-4.633547e-05	9.693869e-03	-1.350288e-03	-7.214794e-04	-6.288084e-04
0.0303959     	-4.599860e-05	9.798719e-03	-1.402358e-03	-7.471774e-04	-6.551802e-04
0.0314191     	-4.566042e-05	9.908367e-03	-1.458203e-03	-7.747620e-04	-6.834412e-04
0.0324443     	-4.532073e-05	1.002158e-02	-1.517942e-03	-8.042918e-04	-7.136504e-04
0.0334716     	-4.497928e-05	1.013450e-02	-1.576826e-03	-8.333923e-04	-7.434338e-04
0.0345009     	-4.463589e-05	1.024759e-02	-1.638494e-03	-8.638829e-04	-7.746111e-04
0.0355323     	-4.429048e-05	1.036951e-02	-1.701444e-03	-8.950123e-04	-8.064313e-04
0.0365657     	-4.394292e-05	1.049623e-02	-1.767683e-03	-9.277846e-04	-8.398988e-04
0.0376011     	-4.359276e-05	1.063137e-02	-1.841630e-03	-9.644078e-04	-8.772223e-04
0.0386384     	-4.324021e-05	1.074194e-02	-1.893752e-03	-9.901160e-04	-9.036356e-04
0.0396775     	-4.288508e-05	1.087570e-02	-1.958994e-03	-1.022382e-03	-9.366119e-04
0.0407185     	-4.252718e-05	1.101389e-02	-2.038323e-03	-1.061688e-03	-9.766341e-04
0.0417612     	-4.216603e-05	1.114980e-02	-2.110286e-03	-1.097309e-03	-1.012977e-03
0.0428054     	-4.180160e-05	1.129829e-02	-2.195659e-03	-1.139631e-03	-1.056028e-03
0.0438513     	-4.143423e-05	1.143871e-02	-2.261502e-03	-1.172185e-03	-1.089317e-03
0.0448984     	-4.106377e-05	1.158336e-02	-2.349009e-03	-1.215568e-03	-1.133441e-03
0.0459466     	-4.069010e-05	1.173290e-02	-2.430098e-03	-1.255739e-03	-1.174359e-03
0.0469956     	-4.031314e-05	1.189048e-02	-2.511172e-03	-1.295899e-03	-1.215273e-03
0.0480455     	-3.993266e-05	1.206419e-02	-2.603775e-03	-1.341820e-03	-1.261955e-03
0.0490959     	-3.954909e-05	1.222458e-02	-2.681102e-03	-1.380100e-03	-1.301002e-03
0.0501469     	-3.916257e-05	1.236007e-02	-2.770877e-03	-1.424601e-03	-1.346276e-03
0.0511982     	-3.877330e-05	1.249414e-02	-2.859307e-03	-1.468427e-03	-1.390880e-03
0.0522497     	-3.838143e-05	1.263318e-02	-2.945544e-03	-1.511153e-03	-1.434390e-03
0.0533014     	-3.798667e-05	1.281151e-02	-3.057860e-03	-1.566917e-03	-1.490943e-03
0.0543531     	-3.758896e-05	1.297988e-02	-3.153514e-03	-1.614346e-03	-1.539168e-03
0.0554047     	-3.718866e-05	1.312976e-02	-3.252174e-03	-1.663276e-03	-1.588898e-03
0.056456      	-3.678553e-05	1.328705e-02	-3.352338e-03	-1.712955e-03	-1.639384e-03
0.057507      	-3.637978e-05	1.344670e-02	-3.441087e-03	-1.756923e-03	-1.684164e-03
0.0585575     	-3.597180e-05	1.361820e-02	-3.555441e-03	-1.813692e-03	-1.741748e-03
0.0596071     	-3.556136e-05	1.380793e-02	-3.650947e-03	-1.861035e-03	-1.789912e-03
0.0606559     	-3.514872e-05	1.398825e-02	-3.759348e-03	-1.914823e-03	-1.844525e-03
0.0617038     	-3.473408e-05	1.417570e-02	-3.874246e-03	-1.971857e-03	-1.902389e-03
0.0627506     	-3.431751e-05	1.436110e-02	-3.985238e-03	-2.026936e-03	-1.958301e-03
0.0637964     	-3.389939e-05	1.453107e-02	-4.097175e-03	-2.082487e-03	-2.014688e-03
0.0648411     	-3.348017e-05	1.470032e-02	-4.207564e-03	-2.137262e-03	-2.070302e-03
0.0658846     	-3.305995e-05	1.489130e-02	-4.343993e-03	-2.205056e-03	-2.138936e-03
0.0669268     	-3.263873e-05	1.507990e-02	-4.455596e-03	-2.260437e-03	-2.195159e-03
0.0679678     	-3.221674e-05	1.527067e-02	-4.580747e-03	-2.322590e-03	-2.258157e-03
0.0690075     	-3.179423e-05	1.545292e-02	-4.706920e-03	-2.385254e-03	-2.321666e-03
0.0700458     	-3.137113e-05	1.566394e-02	-4.827016e-03	-2.444879e-03	-2.382137e-03
0.0710828     	-3.094755e-05	1.587668e-02	-4.951032e-03	-2.506463e-03	-2.444568e-03
0.0721183     	-3.052386e-05	1.607287e-02	-5.084453e-03	-2.572750e-03	-2.511703e-03
0.0731524     	-3.010041e-05	1.627320e-02	-5.213579e-03	-2.636890e-03	-2.576689e-03
0.0741851     	-2.967747e-05	1.647300e-02	-5.346504e-03	-2.702930e-03	-2.643575e-03
0.0752163     	-2.925538e-05	1.667916e-02	-5.481562e-03	-2.770037e-03	-2.711526e-03
0.0762459     	-2.883454e-05	1.689270e-02	-5.617397e-03	-2.837533e-03	-2.779864e-03
0.0772741     	-2.841529e-05	1.709576e-02	-5.760925e-03	-2.908878e-03	-2.852047e-03
0.0783007     	-2.799770e-05	1.729053e-02	-5.891175e-03	-2.973585e-03	-2.917590e-03
0.0793258     	-2.758207e-05	1.749439e-02	-6.035102e-03	-3.045133e-03	-2.989969e-03
0.0803493     	-2.716838e-05	1.771232e-02	-6.173211e-03	-3.113774e-03	-3.059437e-03
0.0813713     	-2.675690e-05	1.793556e-02	-6.314866e-03	-3.184190e-03	-3.130676e-03
0.0823917     	-2.634795e-05	1.813709e-02	-6.460853e-03	-3.256775e-03	-3.204079e-03
0.0834105     	-2.594159e-05	1.835423e-02	-6.601416e-03	-3.326650e-03	-3.274767e-03
0.0844277     	-2.553806e-05	1.857713e-02	-6.737334e-03	-3.394205e-03	-3.343129e-03
0.0854434     	-2.513775e-05	1.879832e-02	-6.879604e-03	-3.464940e-03	-3.414664e-03
0.0864574     	-2.474101e-05	1.902532e-02	-7.037337e-03	-3.543409e-03	-3.493927e-03
0.0874699     	-2.434804e-05	1.924112e-02	-7.191711e-03	-3.620203e-03	-3.571507e-03
0.0884808     	-2.395909e-05	1.945735e-02	-7.345098e-03	-3.696508e-03	-3.648590e-03
0.08949       	-2.357436e-05	1.968533e-02	-7.495608e-03	-3.771378e-03	-3.724230e-03
0.0904977     	-2.319411e-05	1.990813e-02	-7.647097e-03	-3.846742e-03	-3.800354e-03
0.0915038     	-2.281893e-05	2.009157e-02	-7.817058e-03	-3.931348e-03	-3.885710e-03
0.0925083     	-2.244882e-05	2.031398e-02	-7.994270e-03	-4.019584e-03	-3.974686e-03
0.093511      	-2.208386e-05	2.053028e-02	-8.162030e-03	-4.103099e-03	-4.058931e-03
0.0945121     	-2.172447e-05	2.074577e-02	-8.329751e-03	-4.186600e-03	-4.143151e-03
0.0955116     	-2.137063e-05	2.097972e-02	-8.515815e-03	-4.279278e-03	-4.236537e-03
0.0965093     	-2.102319e-05	2.117235e-02	-8.661531e-03	-4.351789e-03	-4.309742e-03
0.0975054     	-2.068194e-05	2.138927e-02	-8.830847e-03	-4.436106e-03	-4.394742e-03
0.0984999     	-2.034715e-05	2.159727e-02	-9.001302e-03	-4.520998e-03	-4.480304e-03
0.0994927     	-2.001862e-05	2.182917e-02	-9.190560e-03	-4.615299e-03	-4.575262e-03
0.100484      	-1.969656e-05	2.204168e-02	-9.360836e-03	-4.700115e-03	-4.660721e-03
0.101473      	-1.938091e-05	2.226423e-02	-9.533244e-03	-4.786003e-03	-4.747241e-03
0.102461      	-1.907164e-05	2.246739e-02	-9.714514e-03	-4.876329e-03	-4.838185e-03
0.103447      	-1.876923e-05	2.267089e-02	-9.907749e-03	-4.972644e-03	-4.935105e-03
0.104432      	-1.847348e-05	2.286378e-02	-1.010132e-02	-5.069134e-03	-5.032187e-03
0.105415      	-1.818430e-05	2.306729e-02	-1.029393e-02	-5.165150e-03	-5.128781e-03
0.106396      	-1.790174e-05	2.326923e-02	-1.048693e-02	-5.261366e-03	-5.225562e-03
0.107375      	-1.762578e-05	2.347482e-02	-1.067751e-02	-5.356379e-03	-5.321127e-03
0.108353      	-1.735646e-05	2.367421e-02	-1.087651e-02	-5.455611e-03	-5.420898e-03
0.109329      	-1.709374e-05	2.387206e-02	-1.107586e-02	-5.555024e-03	-5.520837e-03
0.110304      	-1.683759e-05	2.406897e-02	-1.127890e-02	-5.656287e-03	-5.622612e-03
0.111277      	-1.658787e-05	2.427286e-02	-1.148587e-02	-5.759521e-03	-5.726346e-03
0.112248      	-1.634456e-05	2.446988e-02	-1.169038e-02	-5.861534e-03	-5.828845e-03
0.113218      	-1.610800e-05	2.465923e-02	-1.191048e-02	-5.971350e-03	-5.939134e-03
